INFO 2014-03-01 03:08:47,944 [Thread-26]: 10000/32000000 requests finished: 0.0% complete at 100.8 ops/sec 99.2/500 secs elapsed: 19.8% of time limit used
INFO 2014-03-01 03:08:51,698 [Thread-48]: 20000/32000000 requests finished: 0.1% complete at 194.2 ops/sec 103.0/500 secs elapsed: 20.6% of time limit used
INFO 2014-03-01 03:08:54,395 [Thread-9]: 30000/32000000 requests finished: 0.1% complete at 283.9 ops/sec 105.7/500 secs elapsed: 21.1% of time limit used
INFO 2014-03-01 03:08:57,249 [Thread-26]: 40000/32000000 requests finished: 0.1% complete at 368.6 ops/sec 108.5/500 secs elapsed: 21.7% of time limit used
INFO 2014-03-01 03:09:00,648 [Thread-17]: 50000/32000000 requests finished: 0.2% complete at 446.8 ops/sec 111.9/500 secs elapsed: 22.4% of time limit used
INFO 2014-03-01 03:09:02,672 [Thread-56]: 60000/32000000 requests finished: 0.2% complete at 526.6 ops/sec 113.9/500 secs elapsed: 22.8% of time limit used
INFO 2014-03-01 03:09:06,091 [Thread-52]: 70000/32000000 requests finished: 0.2% complete at 596.5 ops/sec 117.4/500 secs elapsed: 23.5% of time limit used
INFO 2014-03-01 03:09:09,291 [Thread-12]: 80000/32000000 requests finished: 0.3% complete at 663.6 ops/sec 120.6/500 secs elapsed: 24.1% of time limit used
INFO 2014-03-01 03:09:12,263 [Thread-61]: 90000/32000000 requests finished: 0.3% complete at 728.6 ops/sec 123.5/500 secs elapsed: 24.7% of time limit used
INFO 2014-03-01 03:09:15,336 [Thread-52]: 100000/32000000 requests finished: 0.3% complete at 789.9 ops/sec 126.6/500 secs elapsed: 25.3% of time limit used
INFO 2014-03-01 03:09:18,906 [Thread-28]: 110000/32000000 requests finished: 0.3% complete at 845.0 ops/sec 130.2/500 secs elapsed: 26.0% of time limit used
INFO 2014-03-01 03:09:21,587 [Thread-42]: 120000/32000000 requests finished: 0.4% complete at 903.2 ops/sec 132.9/500 secs elapsed: 26.6% of time limit used
INFO 2014-03-01 03:09:24,495 [Thread-32]: 130000/32000000 requests finished: 0.4% complete at 957.5 ops/sec 135.8/500 secs elapsed: 27.2% of time limit used
